date,semitones,correct,total,bonus
4feb2021,1-2-3-4,75,100,2
5feb2021,1-2-3-4,81,100,0
6feb2021,1-2-3-4,86,100,0
7feb2021,1-2-3-4,87,100,0
8feb2021,1-2-3-4,88,100,2
9feb2021,1-2-3-4,90,100,2
11feb2021,1-2-3-4,85,100,1
12feb2021,1-2-3-4,82,100,0
13feb2021,1-2-3-4,94,100,2
15feb2021,1-2-3-4,87,100,0
16feb2021,1-2-3-4,93,100,3
17feb2021,1-2-3-4,89,100,2
18feb2021,1-2-3-4,97,100,3
19feb2021,1-2-3-4,90,100,3
21feb2021,1-2-3-4,92,100,2
22feb2021,1-2-3-4,95,100,3
23feb2021,1-2-3-4,91,100,2
24feb2021,1-2-3-4,94,100,2
25feb2021,1-2-3-4,92,100,2
26feb2021,1-2-3-4,98,100,4
2mar2021,5-6-7,79,100,1
3mar2021,5-6-7,90,100,1
4mar2021,5-6-7,86,100,1
8mar2021,5-6-7,92,100,2
9mar2021,5-6-7,91,100,2
10mar2021,5-6-7,96,100,3
11mar2021,5-6-7,94,100,3
12mar2021,1-2-3-4-5-6-7,87,100,2
13mar2021,1-2-3-4-5-6-7,96,100,2
14mar2021,1-2-3-4-5-6-7,96,100,4
15mar2021,8-9-10-11,49,100,0
16mar2021,8-9-10-11,56,100,0
17mar2021,8-9-10-11,76,100,0
18mar2021,8-9-10-11,82,100,0
19mar2021,8-9-10-11,83,100,0
21mar2021,8-9-10-11,90,100,2
22mar2021,8-9-10-11,87,100,1
23mar2021,8-9-10-11,89,100,1
25mar2021,8-9-10-11,91,100,2
29mar2021,8-9-10-11,90,100,2
30mar2021,1-2-3-4-5-6-7-8-9-10-11,89,100,1
31mar2021,1-2-3-4-5-6-7-8-9-10-11,95,100,3
1apr2021,1-2-3-4-5-6-7-8-9-10-11,89,100,2
2apr2021,1-2-3-4-5-6-7-8-9-10-11,89,100,2
3apr2021,1-2-3-4-5-6-7-8-9-10-11,89,100,1
4apr2021,1-2-3-4-5-6-7-8-9-10-11,89,100,1
5apr2021,1-2-3-4-5-6-7-8-9-10-11,95,100,3
